No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
54,Mister Alexander,24,LB,6,0,227,6-3,Florida St.,6/2/1988,1,0,,AlexMi01
22,Alan Ball,27,DB,11,1,176,6-1,Illinois,3/29/1985,5,1,Dallas Cowboys / 7th / 237th pick / 2007,BallAl99
98,Connor Barwin,26,DE,16,16,255,6-4,Cincinnati,10/15/1986,3,8,Houston Texans / 2nd / 46th pick / 2009,BarwCo99
50,Bryan Braman,25,LB,14,0,230,6-5,West Texas A&M,5/4/1987,1,1,,BramBr00
79,Brandon Brooks,23,G,6,0,335,6-5,Miami (OH),8/19/1989,Rook,0,Houston Texans / 3rd / 76th pick / 2012,BrooBr00
76,Duane Brown,27,LT,16,16,315,6-4,Virginia Tech,8/30/1985,4,13,Houston Texans / 1st / 26th pick / 2008,BrowDu20
62,Antoine Caldwell,26,C,11,6,307,6-3,Alabama,4/19/1986,3,3,Houston Texans / 3rd / 77th pick / 2009,CaldAn20
20,Roc Carmichael,24,CB,6,0,185,5-10,Virginia Tech,9/9/1988,1,0,Houston Texans / 4th / 127th pick / 2011,CarmRo00
86,James Casey,28,TE,16,9,235,6-3,Rice,9/22/1984,3,3,Houston Texans / 5th / 152nd pick / 2009,CaseJa00
40,Tyler Clutts,28,FB,16,0,260,6-2,Fresno St.,11/9/1984,1,0,,ClutTy00
95,Shaun Cody,29,DT,13,12,307,6-4,USC,1/22/1983,7,5,Detroit Lions / 2nd / 37th pick / 2005,CodySh20
93,Jared Crick,23,DT,15,0,285,6-4,Nebraska,8/21/1989,Rook,2,Houston Texans / 4th / 126th pick / 2012,CricJa00
56,Brian Cushing,25,LB,5,5,255,6-3,USC,1/24/1987,3,3,Houston Texans / 1st / 15th pick / 2009,CushBr99
81,Owen Daniels,30,TE,15,14,245,6-3,Wisconsin,11/9/1982,6,6,Houston Texans / 4th / 98th pick / 2006,DaniOw00
27,Quintin Demps,27,DB,12,0,203,6-0,Texas-El Paso,6/29/1985,4,1,Philadelphia Eagles / 4th / 117th pick / 2008,DempQu99
52,Tim Dobbins,30,MLB,14,6,234,6-1,Iowa St.,12/10/1982,6,5,San Diego Chargers / 5th / 151st pick / 2006,DobbTi20
28,Justin Forsett,27,RB,16,0,195,5-8,California,10/14/1985,4,3,Seattle Seahawks / 7th / 233rd pick / 2008,ForsJu00
