No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
20,Mike Adams,31,DB,16,16,205,5-11,Delaware,3/24/1981,8,6,,AdamMi21
91,Robert Ayers,27,DE,15,0,275,6-3,Tennessee,9/6/1985,3,2,Denver Broncos / 1st / 18th pick / 2009,AyerRo99
24,Champ Bailey,34,DB,16,15,192,6-0,Georgia,6/22/1978,13,12,Washington Redskins / 1st / 7th pick / 1999,BailCh00
35,Lance Ball,27,RB,15,0,223,5-9,Maryland,6/19/1985,4,2,,BallLa00
97,Justin Bannan,33,DT,16,15,312,6-3,Colorado,4/18/1979,10,8,Buffalo Bills / 5th / 139th pick / 2002,BannJu20
68,Zane Beadles,26,T,16,16,305,6-4,Utah,11/19/1986,2,11,Denver Broncos / 2nd / 45th pick / 2010,BeadZa20
31,Omar Bolden,24,CB,16,0,198,5-10,Arizona St.,12/20/1988,Rook,1,Denver Broncos / 4th / 101st pick / 2012,BoldOm00
46,Aaron Brewer,22,LS,16,0,232,6-5,San Diego St.,7/5/1990,Rook,1,,BrewAa00
57,Keith Brooking,37,LB,16,14,240,6-2,Georgia Tech,10/30/1975,14,7,Atlanta Falcons / 1st / 12th pick / 1998,BrooKe00
30,David Bruton,25,DB,16,0,210,6-2,Notre Dame,7/23/1987,3,1,Denver Broncos / 4th / 114th pick / 2009,BrutDa99
17,Andre Caldwell,27,WR,8,0,207,6-1,Florida,4/15/1985,4,0,Cincinnati Bengals / 3rd / 97th pick / 2008,CaldAn00
28,Quinton Carter,24,DB,3,0,211,6-1,Oklahoma,7/20/1988,1,0,Denver Broncos / 4th / 108th pick / 2011,CartQu01
32,Tony Carter,26,DB,15,0,177,5-9,Florida St.,5/24/1986,3,2,,CartTo99
78,Ryan Clady,26,T,16,16,315,6-6,Boise St.,9/6/1986,4,17,Denver Broncos / 1st / 12th pick / 2008,CladRy20
75,Chris Clark,27,T,16,0,305,6-5,Southern Miss,10/1/1985,2,1,,ClarCh21
4,Britton Colquitt,27,P,16,0,210,6-3,Tennessee,3/20/1985,2,2,,ColqBr00
54,C.J. Davis,25,G,7,0,310,6-3,Pittsburgh,2/2/1987,2,1,,DaviC.20
87,Eric Decker,25,WR,16,15,214,6-3,Minnesota,3/15/1987,2,9,Denver Broncos / 3rd / 87th pick / 2010,DeckEr00
81,Joel Dreessen,30,TE,16,15,245,6-4,Colorado St.,7/26/1982,7,3,New York Jets / 6th / 198th pick / 2005,DreeJo00
92,Elvis Dumervil,28,DE,16,16,250,5-11,Louisville,1/19/1984,6,11,Denver Broncos / 4th / 126th pick / 2006,DumeEl20
74,Orlando Franklin,25,RT,16,16,315,6-6,Miami (FL),12/16/1987,1,9,Denver Broncos / 2nd / 46th pick / 2011,FranOr00
85,Virgil Green,24,,12,2,255,6-5,Nevada,8/3/1988,1,1,Denver Broncos / 7th / 204th pick / 2011,GreeVi00
49,Chris Gronkowski,26,RB,14,0,239,6-2,Arizona,12/26/1986,2,0,,GronCh00
25,Chris Harris Jr.,23,CB,15,12,199,5-10,Kansas,6/18/1989,1,6,,HarrCh01
40,Jacob Hester,27,RB,3,0,230,5-11,LSU,5/8/1985,4,1,San Diego Chargers / 3rd / 69th pick / 2008,HestJa00
21,Ronnie Hillman,21,RB,14,0,200,5-9,San Diego St.,9/14/1991,Rook,3,Denver Broncos / 3rd / 67th pick / 2012,HillRo00
11,Trindon Holliday,26,WR,10,0,162,5-5,LSU,4/27/1986,1,2,Houston Texans / 6th / 197th pick / 2010,HollTr00
33,Duke Ihenacho,23,S,2,0,212,6-0,San Jose St.,6/16/1989,Rook,0,,IhenDu00
56,Nate Irving,24,MLB,15,0,242,6-1,North Carolina St.,7/12/1988,1,1,Denver Broncos / 3rd / 67th pick / 2011,IrviNa00
70,Malik Jackson,22,DT,14,0,285,6-5,Tennessee,1/11/1990,Rook,1,Denver Broncos / 5th / 137th pick / 2012,JackMa02
53,Steven Johnson,24,MLB,11,0,237,6-1,Kansas,3/28/1988,Rook,1,,JohnSt02
67,Dan Koppen,33,C,15,12,300,6-2,Boston Col.,9/12/1979,9,7,New England Patriots / 5th / 164th pick / 2003,KoppDa20
73,Chris Kuper,30,G,7,5,303,6-4,North Dakota,12/19/1982,6,3,Denver Broncos / 5th / 161st pick / 2006,KupeCh20
36,Jim Leonhard,30,DB,16,1,188,5-8,Wisconsin,10/27/1982,7,2,,LeonJi23
18,Peyton Manning,36,QB,16,16,230,6-5,Tennessee,3/24/1976,14,15,Indianapolis Colts / 1st / 1st pick / 1998,MannPe00
51,Joe Mays,27,MLB,6,4,245,5-11,North Dakota St.,7/6/1985,4,2,Philadelphia Eagles / 6th / 200th pick / 2008,MaysJo99
23,Willis McGahee,31,RB,10,9,235,6-0,Miami (FL),10/21/1981,8,7,Buffalo Bills / 1st / 23rd pick / 2003,McGaWi00
58,Von Miller,23,OLB,16,16,250,6-3,Texas A&M,3/26/1989,1,18,Denver Broncos / 1st / 2nd pick / 2011,MillVo00
47,Mike Mohamed,24,LB,1,0,238,6-2,California,3/11/1988,1,0,Denver Broncos / 6th / 189th pick / 2011,MohaMi00
26,Rahim Moore,22,FS,16,15,195,6-1,UCLA,2/11/1990,1,6,Denver Broncos / 2nd / 45th pick / 2011,MoorRa00
27,Knowshon Moreno,25,RB,8,6,215,5-10,Georgia,7/16/1987,3,5,Denver Broncos / 1st / 12th pick / 2009,MoreKn00
6,Brock Osweiler,22,QB,5,0,240,6-7,Arizona St.,11/22/1990,Rook,0,Denver Broncos / 2nd / 57th pick / 2012,OsweBr00
22,Tracy Porter,26,DB,6,4,185,5-11,Indiana,8/11/1986,4,2,New Orleans Saints / 2nd / 40th pick / 2008,PortTr99
5,Matt Prater,28,K,16,0,201,5-10,Central Florida,8/10/1984,5,2,,PratMa20
65,Manuel Ramirez,29,G,15,11,326,6-3,Texas Tech,2/19/1983,5,6,Detroit Lions / 4th / 117th pick / 2007,RamiMa20
98,Sealver Siliga,22,DT,1,0,345,6-2,Utah,4/26/1990,1,0,,SiliSe00
14,Brandon Stokley,36,WR,15,9,194,6-0,Louisiana,6/23/1976,13,5,Baltimore Ravens / 4th / 105th pick / 1999,StokBr00
84,Jacob Tamme,27,TE,16,8,234,6-4,Kentucky,3/15/1985,4,5,Indianapolis Colts / 4th / 127th pick / 2008,TammJa00
88,Demaryius Thomas,25,WR,16,16,225,6-3,Georgia Tech,12/25/1987,2,13,Denver Broncos / 1st / 22nd pick / 2010,ThomDe03
80,Julius Thomas,24,TE,4,0,256,6-5,Portland St.,6/27/1988,1,0,Denver Broncos / 4th / 129th pick / 2011,ThomJu00
59,Danny Trevathan,22,OLB,16,0,239,6-0,Kentucky,3/24/1990,Rook,2,Denver Broncos / 6th / 188th pick / 2012,TrevDa00
96,Mitch Unrein,25,DT,16,2,301,6-4,Wyoming,3/25/1987,1,3,,UnreMi00
99,Kevin Vickerson,29,DT,16,14,328,6-5,Michigan St.,1/8/1983,5,7,Miami Dolphins / 7th / 216th pick / 2005,VickKe99
50,J.D. Walton,25,C,4,4,299,6-3,Baylor,3/24/1987,2,2,Denver Broncos / 3rd / 80th pick / 2010,WaltJ.20
94,Ty Warren,31,DE,1,1,300,6-5,Texas A&M,2/6/1981,9,0,New England Patriots / 1st / 13th pick / 2003,WarrTy20
55,D.J. Williams,30,LB,7,1,242,6-1,Miami (FL),7/20/1982,8,1,Denver Broncos / 1st / 17th pick / 2004,WillD.20
12,Matt Willis,28,WR,15,0,185,5-11,UCLA,4/13/1984,5,1,,WillMa00
95,Derek Wolfe,22,DT,16,16,285,6-5,Cincinnati,2/24/1990,Rook,8,Denver Broncos / 2nd / 36th pick / 2012,WolfDe00
52,Wesley Woodyard,26,MLB,15,14,233,6-0,Kentucky,7/21/1986,4,9,,WoodWe20
,Team Total,26.7,,16,,244.6,6-1.6,,,3.8,,,-9999
