No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
53,Stanley Arnoux,24,LB,9,0,240,6-1,Wake Forest,9/9/1986,1,1,New Orleans Saints / 4th / 118th pick / 2009,ArnoSt99
87,Adrian Arrington,25,WR,1,0,185,6-2,Michigan,11/7/1985,2,1,New Orleans Saints / 7th / 237th pick / 2008,ArriAd00
94,K.C. Asiodu,24,LB,1,0,225,6-2,Central Oklahoma,11/24/1986,1,0,,AsioK.00
92,Remi Ayodele,27,DT,16,16,318,6-2,Oklahoma,4/22/1983,3,6,,AyodRe99
46,Ladell Betts,31,RB,8,1,224,5-11,Iowa,8/27/1979,8,2,Washington Redskins / 2nd / 56th pick / 2002,BettLa00
9,Drew Brees,31,QB,16,16,209,6-0,Purdue,1/15/1979,9,14,San Diego Chargers / 2nd / 32nd pick / 2001,BreeDr00
96,Alex Brown,31,DE,16,16,260,6-3,Florida,6/4/1979,8,7,Chicago Bears / 4th / 104th pick / 2002,BrowAl20
71,Charles Brown,23,T,3,0,284,6-5,USC,4/10/1987,Rook,0,New Orleans Saints / 2nd / 64th pick / 2010,BrowCh28
25,Reggie Bush,25,RB,8,6,205,6-0,USC,3/2/1985,4,3,New Orleans Saints / 1st / 2nd pick / 2006,BushRe00
74,Jermon Bushrod,26,T,16,16,318,6-5,Towson,8/19/1984,3,8,New Orleans Saints / 4th / 125th pick / 2007,BushJe20
3,John Carney,46,K,2,0,185,5-11,Notre Dame,4/20/1964,22,0,,carnejoh01
97,Jeff Charleston,27,DE,16,1,265,6-4,Idaho St.,1/19/1983,3,2,,CharJe99
55,Danny Clark,33,LB,14,10,233,6-2,Illinois,5/9/1977,10,4,Jacksonville Jaguars / 7th / 245th pick / 2000,ClarDa21
12,Marques Colston,27,WR,15,11,225,6-4,Hofstra,6/5/1983,4,9,New Orleans Saints / 7th / 252nd pick / 2006,ColsMa00
10,Chase Daniel,24,QB,13,0,218,6-0,Missouri,10/7/1986,1,0,,DaniCh00
47,Justin Drescher,22,C,6,0,230,6-1,Colorado,1/1/1988,Rook,0,,DresJu20
56,Jo-Lonn Dunbar,25,MLB,13,8,233,6-1,Boston Col.,3/13/1985,2,4,,DunbJo20
98,Sedrick Ellis,25,DT,16,16,308,6-1,USC,7/9/1985,2,7,New Orleans Saints / 1st / 7th pick / 2008,ElliSe99
44,Heath Evans,32,FB,16,6,250,6-0,Auburn,12/30/1978,9,0,Seattle Seahawks / 3rd / 82nd pick / 2001,EvanHe00
73,Jahri Evans,27,G,16,16,318,6-4,Bloomsburg,8/22/1983,4,15,New Orleans Saints / 4th / 108th pick / 2006,EvanJa21
93,Junior Galette,22,DE,4,0,257,6-2,TempleStillman,3/27/1988,Rook,0,,GaleJu00
20,Randall Gay,28,DB,4,0,190,5-11,LSU,5/5/1982,6,0,,GayxRa20
37,Matt Giordano,28,DB,9,0,204,5-11,California,10/16/1982,5,1,Indianapolis Colts / 4th / 135th pick / 2005,GiorMa20
76,Jonathan Goodwin,32,G,16,16,318,6-3,OhioMichigan,12/2/1978,8,8,New York Jets / 5th / 154th pick / 2002,GoodJo23
80,Jimmy Graham,24,TE,15,5,259,6-7,Miami (FL),11/24/1986,Rook,3,New Orleans Saints / 3rd / 95th pick / 2010,GrahJi00
33,Jabari Greer,28,DB,14,13,180,5-11,Tennessee,2/11/1982,6,6,,GreeJa22
69,Anthony Hargrove,27,DE,14,0,282,6-3,Georgia Tech,7/20/1983,6,1,St. Louis Rams / 3rd / 91st pick / 2004,HargAn20
41,Roman Harper,28,DB,15,15,205,6-1,Alabama,12/11/1982,4,9,New Orleans Saints / 2nd / 43rd pick / 2006,HarpRo21
5,Garrett Hartley,24,K,14,0,204,5-8,Oklahoma,5/16/1986,2,2,,HartGa00
19,Devery Henderson,28,WR,16,11,200,5-11,LSU,3/26/1982,6,4,New Orleans Saints / 2nd / 50th pick / 2004,HendDe00
54,Ramon Humber,23,MLB,3,0,232,5-11,North Dakota St.,8/10/1987,1,0,,HumbRa00
84,Tory Humphrey,27,TE,6,2,257,6-2,Central Michigan,1/20/1983,5,0,,HumpTo00
47,Jake Ingram,25,C,1,0,232,6-3,Hawaii,10/23/1985,1,0,New England Patriots / 6th / 198th pick / 2009,IngrJa20
29,Chris Ivory,22,RB,12,4,223,6-0,Washington St.Tiffin,3/22/1988,Rook,5,,IvorCh00
27,Malcolm Jenkins,23,DB,15,15,204,6-0,Ohio St.,12/20/1987,1,12,New Orleans Saints / 1st / 14th pick / 2009,JenkMa99
21,Julius Jones,29,RB,10,2,208,5-10,Notre Dame,8/14/1981,6,2,Dallas Cowboys / 2nd / 43rd pick / 2004,JoneJu01
57,Jason Kyle,38,LB,9,0,242,6-3,Arizona St.,5/12/1972,15,2,Seattle Seahawks / 4th / 126th pick / 1995,KyleJa20
17,Robert Meachem,26,WR,16,7,214,6-2,Tennessee,9/28/1984,2,6,New Orleans Saints / 1st / 27th pick / 2007,MeacRo00
94,Kawika Mitchell,31,LB,1,0,253,6-1,GeorgiaSouth Florida,10/10/1979,7,0,Kansas City Chiefs / 2nd / 47th pick / 2003,MitcKa20
50,Marvin Mitchell,26,MLB,16,0,249,6-3,Tennessee,10/21/1984,3,2,New Orleans Saints / 7th / 220th pick / 2007,MitcMa99
16,Lance Moore,27,WR,16,1,187,5-9,Toledo,8/31/1983,4,7,,MoorLa00
6,Thomas Morstead,24,P,16,0,235,6-4,SMU,3/8/1986,1,3,New Orleans Saints / 5th / 164th pick / 2009,MorsTh00
77,Carl Nicks,25,T,16,16,343,6-5,Nebraska,5/14/1985,2,13,New Orleans Saints / 5th / 164th pick / 2008,NickCa20
22,Tracy Porter,24,DB,12,12,185,5-11,Indiana,8/11/1986,2,6,New Orleans Saints / 2nd / 40th pick / 2008,PortTr99
31,Pierson Prioleau,33,DB,15,1,188,5-11,Virginia Tech,8/6/1977,11,1,San Francisco 49ers / 4th / 110th pick / 1999,PrioPi20
39,Chris Reis,27,DB,2,0,215,6-1,Georgia Tech,9/19/1983,3,0,,ReisCh99
34,Patrick Robinson,23,DB,11,4,191,5-11,Florida St.,9/7/1987,Rook,2,New Orleans Saints / 1st / 32nd pick / 2010,RobiPa99
15,Courtney Roby,27,WR,13,0,189,6-0,Indiana,1/10/1983,5,0,Tennessee Titans / 3rd / 68th pick / 2005,RobyCo00
58,Scott Shanle,31,LB,14,14,245,6-2,Nebraska,11/23/1979,7,6,St. Louis Rams / 7th / 251st pick / 2003,ShanSc20
42,Darren Sharper,35,DB,8,1,210,6-2,William & Mary,11/3/1975,13,6,Green Bay Packers / 2nd / 60th pick / 1997,SharDa00
88,Jeremy Shockey,30,TE,13,11,251,6-5,Miami (FL),8/18/1980,8,4,New York Giants / 1st / 14th pick / 2002,ShocJe00
91,Will Smith,29,DE,15,15,282,6-3,Ohio St.,7/4/1981,6,7,New Orleans Saints / 1st / 18th pick / 2004,SmitWi99
78,Jon Stinchcomb,31,T,16,16,315,6-5,Georgia,8/27/1979,7,8,New Orleans Saints / 2nd / 37th pick / 2003,StinJo20
64,Zach Strief,27,G,14,2,320,6-7,Northwestern,9/22/1983,4,2,New Orleans Saints / 7th / 210th pick / 2006,StriZa20
65,Matt Tennant,23,C,16,0,274,6-4,Boston Col.,3/19/1987,Rook,1,New Orleans Saints / 5th / 158th pick / 2010,TennMa20
85,David Thomas,27,TE,13,8,248,6-3,Texas,7/5/1983,4,2,New England Patriots / 3rd / 86th pick / 2006,ThomDa02
23,Pierre Thomas,26,RB,6,3,210,5-11,Illinois,12/18/1984,3,4,,ThomPi00
24,Leigh Torrence,28,DB,13,0,179,5-11,Stanford,1/4/1982,5,1,,TorrLe20
51,Jonathan Vilma,28,LB,16,16,230,6-1,Miami (FL),4/16/1982,6,9,New York Jets / 1st / 12th pick / 2004,VilmJo99
