No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
39,Antonio Allen,28,SS,12,0,210,6-1,South Carolina,9/23/1988,4,1,New York Jets / 7th / 242nd pick / 2012,AlleAn02
11,Robby Anderson,23,WR,16,8,190,6-3,Temple,5/9/1993,Rook,4,,AndeRo04
56,Freddie Bishop,26,DE,4,3,259,6-2,Western Michigan,2/25/1990,Rook,1,,BishFr00
82,Brandon Bostick,27,TE,16,7,245,6-3,Newberry,5/3/1989,4,0,,BostBr00
84,Braedon Bowman,22,TE,3,0,240,6-3,South Alabama,1/30/1994,Rook,0,,BowmBr00
44,Arthur Brown,23,OLB,2,0,250,6-1,Kansas St.,6/1/1993,3,0,Baltimore Ravens / 2nd / 56th pick / 2013,BrowAr00
26,Brandon Burks,23,RB,1,0,208,5-9,Troy,11/1/1993,Rook,0,,BurkBr00
32,Juston Burris,23,CB,16,1,210,6-0,North Carolina St.,8/4/1993,Rook,1,New York Jets / 4th / 118th pick / 2016,BurrJu00
77,James Carpenter,27,LG,16,16,321,6-5,Alabama,3/22/1989,5,6,Seattle Seahawks / 1st / 25th pick / 2011,CarpJa00
54,Bruce Carter,28,MLB,13,1,240,6-2,North Carolina,2/19/1988,5,1,Dallas Cowboys / 2nd / 40th pick / 2011,CartBr00
53,Mike Catapano,26,DE,11,4,270,6-4,Princeton,8/17/1990,3,2,Kansas City Chiefs / 7th / 207th pick / 2013,CataMi00
78,Ryan Clady,30,T,9,8,315,6-6,Boise St.,9/6/1986,8,3,Denver Broncos / 1st / 12th pick / 2008,CladRy20
47,Kellen Davis,31,TE,8,7,259,6-6,Michigan St.,10/11/1985,8,0,Chicago Bears / 5th / 158th pick / 2008,DaviKe01
87,Eric Decker,29,WR,3,3,214,6-3,Minnesota,3/15/1987,6,1,Denver Broncos / 3rd / 87th pick / 2010,DeckEr00
