No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
86,Stephen Alexander,29,TE,16,15,250,6-4,Oklahoma,11/7/1975,6,3,Washington Redskins / 2nd / 48th pick / 1998,AlexSt00
26,Roderick Babers,24,DB,2,0,190,5-9,Texas,10/6/1980,1,0,New York Giants / 4th / 123rd pick / 2003,BabeRo20
76,Jeff Backus,27,T,16,16,305,6-5,Michigan,9/21/1977,3,6,Detroit Lions / 1st / 18th pick / 2001,BackJe20
94,Marcus Bell,25,DT,16,0,339,6-2,Memphis,6/1/1979,3,2,Arizona Cardinals / 4th / 123rd pick / 2001,BellMa20
32,Dre' Bly,27,DB,13,13,188,5-10,North Carolina,5/22/1977,5,9,St. Louis Rams / 2nd / 41st pick / 1999,BlyxDr00
25,Fernando Bryant,27,DB,10,10,174,5-10,Alabama,3/26/1977,5,4,Jacksonville Jaguars / 1st / 26th pick / 1999,BryaFe20
24,Shawn Bryson,28,RB,16,1,228,6-1,Tennessee,11/20/1976,4,4,Buffalo Bills / 3rd / 86th pick / 1999,BrysSh00
29,Chris Cash,24,DB,11,5,170,5-11,USC,7/13/1980,2,2,Detroit Lions / 6th / 175th pick / 2002,CashCh20
55,Donte Curry,26,MLB,12,0,233,6-1,Morris Brown,7/22/1978,3,1,,CurrDo21
52,James Davis,25,MLB,16,15,221,6-1,West Virginia,4/26/1979,1,6,Detroit Lions / 5th / 144th pick / 2003,DaviJa24
95,Jared DeVries,28,DE,15,0,275,6-4,Iowa,6/11/1976,5,1,Detroit Lions / 3rd / 70th pick / 1999,DeVrJa20
18,Eddie Drummond,24,WR,11,1,185,5-9,Penn St.,4/12/1980,2,4,,DrumEd00
98,Kalimba Edwards,25,DE,16,0,264,6-5,South Carolina,12/26/1979,2,2,Detroit Lions / 2nd / 35th pick / 2002,EdwaKa20
82,Casey Fitzsimmons,24,TE,16,2,258,6-4,Carroll (MT),10/10/1980,1,1,,FitzCa00
36,Vernon Fox,25,DB,14,0,200,5-10,Fresno St.,10/9/1979,2,1,,FoxxVe20
35,Andre' Goodman,26,DB,11,4,191,5-10,South Carolina,8/11/1978,2,2,Detroit Lions / 3rd / 68th pick / 2002,GoodAn20
81,Az-Zahir Hakim,27,WR,12,5,189,5-10,San Diego St.,6/3/1977,6,5,St. Louis Rams / 4th / 96th pick / 1998,HakiAz00
96,James Hall,27,DE,16,16,281,6-2,Michigan,2/4/1977,4,7,,HallJa21
4,Jason Hanson,34,K,16,0,190,6-0,Washington St.,6/17/1970,12,4,Detroit Lions / 2nd / 56th pick / 1992,hansojas01
3,Joey Harrington,26,QB,16,16,220,6-4,Oregon,10/21/1978,2,10,Detroit Lions / 1st / 3rd pick / 2002,HarrJo00
2,Nick Harris,26,P,16,0,218,6-2,California,7/23/1978,3,2,Denver Broncos / 4th / 120th pick / 2001,HarrNi20
50,Earl Holmes,31,LB,16,14,242,6-2,Florida A&M,4/28/1973,8,6,Pittsburgh Steelers / 4th / 126th pick / 1996,HolmEa20
42,Terrence Holt,24,DB,16,0,208,6-2,North Carolina St.,3/5/1980,1,1,Detroit Lions / 5th / 137th pick / 2003,HoltTe20
