No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
26,Taje Allen,29,DB,6,0,185,5-10,Texas,11/6/1973,5,0,St. Louis Rams / 5th / 158th pick / 1997,AlleTa20
67,Jason Andersen,27,G,3,0,319,6-6,BYU,9/3/1975,3,0,New England Patriots / 7th / 211th pick / 1998,AndeJa20
8,Morten Andersen,42,K,14,0,217,6-2,Michigan St.,8/19/1960,20,4,New Orleans Saints / 4th / 86th pick / 1982,andermor01
50,Larry Atkins,27,LB,10,0,250,6-3,UCLA,7/21/1975,3,1,Kansas City Chiefs / 3rd / 84th pick / 1999,AtkiLa20
45,Bill Baber,23,TE,12,2,255,6-3,Virginia,1/17/1979,1,0,Kansas City Chiefs / 5th / 141st pick / 2001,BabeBi00
24,William Bartee,25,DB,14,13,200,6-1,Butler (KS)Oklahoma,6/25/1977,2,4,Kansas City Chiefs / 2nd / 54th pick / 2000,BartWi20
96,Monty Beisel,24,MLB,16,0,246,6-4,Kansas St.,8/20/1978,1,1,Kansas City Chiefs / 4th / 107th pick / 2001,BeisMo20
29,Jason Belser,32,DB,16,8,188,5-9,Oklahoma,5/28/1970,10,4,Indianapolis Colts / 8th / 197th pick / 1992,BelsJa20
23,Derrick Blaylock,23,RB,12,0,210,5-9,S.F. Austin,8/23/1979,Rook,1,Kansas City Chiefs / 5th / 150th pick / 2001,BlayDe00
85,Marc Boerigter,24,WR,16,2,220,6-3,Hastings,5/4/1978,Rook,5,,BoerMa00
93,John Browning,29,DT,16,16,297,6-4,West Virginia,9/30/1973,6,6,Kansas City Chiefs / 3rd / 68th pick / 1996,BrowJo24
56,Lewis Bush,33,LB,9,5,245,6-2,Washington St.,12/2/1969,9,2,San Diego Chargers / 4th / 99th pick / 1993,BushLe20
59,Glenn Cadrez,32,MLB,12,1,240,6-3,Houston,1/2/1970,10,1,New York Jets / 6th / 154th pick / 1992,CadrGl20
52,Quinton Caver,24,ROLB,1,0,241,6-4,Arkansas,8/22/1978,1,0,Philadelphia Eagles / 2nd / 55th pick / 2001,CaveQu20
99,Duane Clemons,28,DE,16,16,275,6-5,California,5/23/1974,6,6,Minnesota Vikings / 1st / 16th pick / 1996,ClemDu20
34,Mike Cloud,27,RB,14,2,205,5-10,Boston Col.,7/1/1975,3,2,Kansas City Chiefs / 2nd / 54th pick / 1999,ClouMi00
15,Todd Collins,31,QB,3,0,223,6-4,Michigan,11/5/1971,7,0,Buffalo Bills / 2nd / 45th pick / 1995,CollTo00
39,Ray Crockett,35,DB,15,5,185,5-10,Baylor,1/5/1967,13,3,Detroit Lions / 4th / 86th pick / 1989,CrocRa20
