No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
36,Darian Barnes,28,FB,3,2,240,6-2,RutgersHampton,2/28/1980,6,0,,BarnDa00
96,Copeland Bryan,25,DE,15,0,253,6-4,Arizona,7/14/1983,1,2,,BryaCo99
53,Marcus Buggs,23,MLB,4,0,223,5-10,Vanderbilt,9/21/1985,Rook,0,,BuggMa20
60,Brad Butler,25,T,13,13,292,6-8,Virginia,9/18/1983,2,6,Buffalo Bills / 5th / 143rd pick / 2006,ButlBr20
73,Kirk Chambers,29,T,16,4,315,6-7,Stanford,3/19/1979,4,3,Cleveland Browns / 6th / 176th pick / 2004,ChamKi20
27,Reggie Corner,25,DB,12,2,175,5-10,Akron,11/17/1983,Rook,2,Buffalo Bills / 4th / 114th pick / 2008,CornRe99
57,Jon Corto,24,DB,16,0,208,6-0,Sacred Heart,9/13/1984,Rook,2,,CortJo20
54,Blake Costanzo,24,LB,16,0,235,6-1,Lafayette,4/14/1984,1,1,,CostBl20
92,Ryan Denney,31,DE,16,11,264,6-7,BYU,6/15/1977,6,6,Buffalo Bills / 2nd / 61st pick / 2002,DennRy20
52,John DiGiorgio,25,MLB,6,0,225,6-2,Saginaw Valley St.,6/29/1983,2,0,,DiGiJo20
66,Derrick Dockery,28,G,16,16,325,6-6,Texas,9/7/1980,5,7,Washington Redskins / 3rd / 81st pick / 2003,DockDe20
5,Trent Edwards,25,QB,14,14,231,6-4,Stanford,10/30/1983,1,9,Buffalo Bills / 3rd / 92nd pick / 2007,EdwaTr01
93,Chris Ellis,23,DE,7,0,260,6-4,Virginia Tech,2/11/1985,Rook,1,Buffalo Bills / 3rd / 72nd pick / 2008,ElliCh99
56,Keith Ellison,24,LB,16,14,229,6-0,San Diego St.Oregon St.,2/6/1984,2,7,Buffalo Bills / 6th / 178th pick / 2006,ElliKe20
83,Lee Evans,27,WR,16,16,209,5-10,Wisconsin,3/11/1981,4,9,Buffalo Bills / 1st / 13th pick / 2004,EvanLe00
86,Derek Fine,25,TE,10,5,250,6-2,Kansas,8/24/1983,Rook,1,Buffalo Bills / 4th / 132nd pick / 2008,FineDe00
67,Melvin Fowler,29,C,15,5,300,6-3,Maryland,3/31/1979,6,3,Cleveland Browns / 3rd / 76th pick / 2002,FowlMe20
35,Dustin Fox,26,DB,5,0,190,5-10,Ohio St.,10/8/1982,2,0,Minnesota Vikings / 3rd / 80th pick / 2005,FoxxDu20
33,Jabari Greer,26,DB,10,10,180,5-11,Tennessee,2/11/1982,4,5,,GreeJa22
81,James Hardy,23,WR,14,3,220,6-6,Indiana,12/24/1985,Rook,1,Buffalo Bills / 2nd / 41st pick / 2008,HardJa00
22,Fred Jackson,27,RB,16,3,215,6-1,Coe College,2/20/1981,1,7,,JackFr02
17,Justin Jenkins,28,WR,13,0,207,6-0,Mississippi St.,12/10/1980,1,0,,JenkJu00
91,Spencer Johnson,27,DT,16,0,304,6-3,Auburn,12/12/1981,4,2,,JohnSp20
13,Steve Johnson,22,WR,11,1,210,6-2,Kentucky,11/28/1986,Rook,1,Buffalo Bills / 7th / 224th pick / 2008,JohnSt00
90,Chris Kelsay,29,DE,16,16,263,6-4,Nebraska,10/31/1979,5,7,Buffalo Bills / 2nd / 48th pick / 2003,KelsCh21
58,Teddy Lehman,27,MLB,4,0,249,6-1,Oklahoma,11/18/1981,4,0,Detroit Lions / 2nd / 37th pick / 2004,LehmTe20
9,Rian Lindell,31,K,16,0,227,6-3,Washington St.,1/20/1977,8,2,,linderia01
7,J.P. Losman,27,QB,5,2,217,6-2,UCLATulane,3/12/1981,4,2,Buffalo Bills / 1st / 22nd pick / 2004,LosmJ.00
23,Marshawn Lynch,22,RB,15,15,215,5-11,California,4/22/1986,1,9,Buffalo Bills / 1st / 12th pick / 2007,LyncMa00
74,Corey Mace,23,DT,3,0,297,6-3,Wyoming,12/22/1985,Rook,0,,MaceCo00
97,John McCargo,25,DT,7,0,307,6-2,North Carolina St.,8/19/1983,2,0,Buffalo Bills / 1st / 26th pick / 2006,McCaJo22
24,Terrence McGee,28,DB,14,13,205,5-9,Northwestern St. (LA),10/14/1980,5,6,Buffalo Bills / 4th / 111th pick / 2003,McGeTe99
38,Corey McIntyre,29,FB,11,2,245,6-0,West Virginia,1/25/1979,3,0,,McInCo00
28,Leodis McKelvin,23,DB,16,6,190,5-11,Troy,9/1/1985,Rook,5,Buffalo Bills / 1st / 11th pick / 2008,McKeLe99
59,Kawika Mitchell,29,LB,16,15,253,6-1,GeorgiaSouth Florida,10/10/1979,5,7,Kansas City Chiefs / 2nd / 47th pick / 2003,MitcKa20
8,Brian Moorman,32,P,16,0,174,6-0,Pittsburg St.,2/5/1976,7,2,,MoorBr24
72,Ryan Neill,26,DE,16,0,250,6-3,Rutgers,12/12/1982,1,2,,NeilRy99
25,Xavier Omon,23,RB,2,0,226,5-11,NW Missouri St.,2/15/1985,Rook,0,Buffalo Bills / 6th / 179th pick / 2008,OmonXa00
11,Roscoe Parrish,26,WR,13,1,175,5-9,Miami (FL),7/16/1982,3,3,Buffalo Bills / 2nd / 55th pick / 2005,ParrRo00
71,Jason Peters,26,T,13,13,328,6-4,Arkansas,1/22/1982,4,10,,PeteJa21
51,Paul Posluszny,24,MLB,16,16,232,6-2,Penn St.,10/10/1984,1,8,Buffalo Bills / 2nd / 34th pick / 2007,PoluPa99
75,Duke Preston,26,C,15,11,311,6-5,Illinois,6/12/1982,3,5,Buffalo Bills / 4th / 122nd pick / 2005,PresDu20
82,Josh Reed,28,WR,13,13,210,5-10,LSU,5/1/1980,6,5,Buffalo Bills / 2nd / 36th pick / 2002,ReedJo01
84,Robert Royal,29,TE,15,7,257,6-4,LSU,5/15/1979,5,3,Washington Redskins / 5th / 160th pick / 2002,RoyaRo00
94,Aaron Schobel,31,DE,5,5,243,6-4,TCU,9/1/1977,7,3,Buffalo Bills / 2nd / 46th pick / 2001,SchoAa99
80,Derek Schouman,23,TE,16,12,247,6-2,Boise St.,3/11/1985,1,1,Buffalo Bills / 7th / 222nd pick / 2007,SchoDe00
43,Bryan Scott,27,DB,16,7,220,6-1,Penn St.,4/13/1981,5,3,Atlanta Falcons / 2nd / 55th pick / 2003,ScotBr20
30,Ko Simpson,25,DB,16,11,202,6-1,South Carolina,11/9/1983,2,4,Buffalo Bills / 4th / 105th pick / 2006,SimpKo20
99,Marcus Stroud,30,DT,16,16,310,6-6,Georgia,6/25/1978,7,8,Jacksonville Jaguars / 1st / 13th pick / 2001,StroMa01
68,Langston Walker,29,T,16,16,360,6-8,California,9/3/1979,6,7,Oakland Raiders / 2nd / 53rd pick / 2002,WalkLa20
29,John Wendling,25,DB,16,0,222,6-1,Wyoming,6/4/1983,1,1,Buffalo Bills / 6th / 184th pick / 2007,WendJo99
20,Donte Whitner,23,DB,13,13,208,5-10,Ohio St.,7/24/1985,2,5,Buffalo Bills / 1st / 8th pick / 2006,WhitDo20
65,Jason Whittle,33,G,9,2,305,6-4,Missouri State,3/7/1975,10,1,,WhitJa22
95,Kyle Williams,25,DT,16,16,303,6-1,LSU,6/10/1983,2,7,Buffalo Bills / 5th / 134th pick / 2006,WillKy20
37,George Wilson,27,SS,16,3,210,6-0,Arkansas,3/14/1981,3,2,,WilsGe01
26,Ashton Youboty,24,DB,5,2,192,6-0,Ohio St.,7/7/1984,2,1,Buffalo Bills / 3rd / 70th pick / 2006,YoubAs20
,Team Total,26.3,,16,,243.1,6-1.8,,,3.0,,,-9999
