No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
33,Karim Abdul-Jabbar,22,RB,16,14,194,5-10,UCLA,6/28/1974,Rook,8,Miami Dolphins / 3rd / 80th pick / 1996,AbduKa00
93,Trace Armstrong,31,DE,16,9,275,6-4,Arizona St.Florida,10/5/1965,7,6,Chicago Bears / 1st / 12th pick / 1989,ArmsTr00
28,Gene Atkins,32,DB,5,5,201,5-11,Florida A&M,11/22/1964,9,2,New Orleans Saints / 7th / 179th pick / 1987,AtkiGe20
23,Robert Bailey,28,DB,14,0,176,5-9,Miami (FL),9/3/1968,5,1,Los Angeles Rams / 4th / 107th pick / 1991,BailRo20
80,Fred Barnett,30,WR,9,7,204,6-0,Arkansas St.,6/17/1966,6,5,Philadelphia Eagles / 3rd / 77th pick / 1990,BarnFr00
60,John Bock,25,C,2,0,290,6-3,LouisvilleIndiana St.,2/11/1971,1,0,,BockJo21
95,Tim Bowens,23,DT,16,16,325,6-4,Mississippi,2/7/1973,2,8,Miami Dolphins / 1st / 20th pick / 1994,BoweTi00
58,O.J. Brigance,27,LB,12,0,236,6-0,Rice,9/29/1969,Rook,1,,BrigO.20
37,J.B. Brown,29,DB,14,1,193,6-0,Maryland,1/5/1967,7,1,Miami Dolphins / 12th / 315th pick / 1989,BrowJ.20
76,James Brown,26,T,16,16,330,6-6,Virginia St.,1/30/1970,3,9,Dallas Cowboys / 3rd / 82nd pick / 1992,BrowJa21
77,Jeff Buckey,22,G,15,1,305,6-5,Stanford,8/7/1974,Rook,2,Miami Dolphins / 7th / 230th pick / 1996,BuckJe20
27,Terrell Buckley,25,DB,16,16,180,5-10,Florida St.,6/7/1971,4,8,Green Bay Packers / 1st / 5th pick / 1992,BuckTe20
75,Shane Burton,22,DE,16,8,305,6-6,Tennessee,1/18/1974,Rook,5,Miami Dolphins / 5th / 150th pick / 1996,BurtSh20
41,Keith Byars,33,RB,4,4,245,6-1,Ohio St.,10/14/1963,10,0,Philadelphia Eagles / 1st / 10th pick / 1986,ByarKe00
84,Brett Carolan,25,TE,6,2,241,6-3,Washington St.,3/16/1971,2,0,,CaroBr00
87,Kirby Dar Dar,24,WR,11,0,185,5-9,Syracuse,3/27/1972,1,0,,DarxKi00
63,Cal Dixon,27,C,11,0,302,6-4,Florida,10/11/1969,4,1,New York Jets / 5th / 127th pick / 1992,DixoCa20
84,Troy Drayton,26,TE,10,10,260,6-3,Penn St.,6/29/1970,3,3,Los Angeles Rams / 2nd / 39th pick / 1993,DrayTr00
94,Steve Emtman,26,DE,13,4,290,6-4,Washington,4/16/1970,4,4,Indianapolis Colts / 1st / 1st pick / 1992,EmtmSt20
7,Craig Erickson,27,QB,7,3,209,6-2,Miami (FL),5/17/1969,4,2,Tampa Bay Buccaneers / 4th / 86th pick / 1992 Philadelphia Eagles / 5th / 131st pick / 1991,EricCr00
92,Daryl Gardener,23,DT,16,12,295,6-6,Baylor,2/25/1973,Rook,6,Miami Dolphins / 1st / 20th pick / 1996,GardDa20
62,Chris Gray,26,G,11,11,308,6-4,Auburn,6/19/1970,3,6,Miami Dolphins / 5th / 132nd pick / 1993,GrayCh20
98,Norman Hand,24,DT,9,0,310,6-3,Mississippi,9/4/1972,Rook,1,Miami Dolphins / 5th / 158th pick / 1995,HandNo20
