No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
69,Jared Allen,22,DE,15,10,270,6-6,Idaho St.,4/3/1982,Rook,4,Kansas City Chiefs / 4th / 126th pick / 2004,AlleJa22
9,Jason Baker,26,P,2,0,205,6-2,Iowa,5/17/1978,3,0,,BakeJa20
59,Shawn Barber,29,ROLB,8,8,240,6-2,Richmond,1/14/1975,6,3,Washington Redskins / 4th / 113th pick / 1998,BarbSh20
24,William Bartee,27,DB,14,9,200,6-1,Butler (KS)Oklahoma,6/25/1977,4,3,Kansas City Chiefs / 2nd / 54th pick / 2000,BartWi20
26,Julian Battle,23,DB,12,1,205,6-2,Tennessee,7/11/1981,1,1,Kansas City Chiefs / 3rd / 92nd pick / 2003,BattJu20
56,Monty Beisel,26,MLB,11,9,246,6-4,Kansas St.,8/20/1978,3,3,Kansas City Chiefs / 4th / 107th pick / 2001,BeisMo20
65,Jordan Black,24,T,16,4,305,6-5,Notre Dame,1/28/1980,Rook,4,Kansas City Chiefs / 5th / 153rd pick / 2003,BlacJo20
23,Derrick Blaylock,25,RB,12,5,210,5-9,S.F. Austin,8/23/1979,2,6,Kansas City Chiefs / 5th / 150th pick / 2001,BlayDe00
67,Chris Bober,28,C,12,2,310,6-5,Nebraska-Omaha,12/24/1976,3,2,,BobeCh20
93,John Browning,31,DT,16,7,297,6-4,West Virginia,9/30/1973,8,3,Kansas City Chiefs / 3rd / 68th pick / 1996,BrowJo24
52,Quinton Caver,26,ROLB,16,4,241,6-4,Arkansas,8/22/1978,3,2,Philadelphia Eagles / 2nd / 55th pick / 2001,CaveQu20
5,Stephen Cheek,27,P,12,0,205,6-4,MassachusettsHumboldt St.,4/18/1977,Rook,1,,CheeSt20
15,Todd Collins,33,QB,2,0,223,6-4,Michigan,11/5/1971,9,0,Buffalo Bills / 2nd / 45th pick / 1995,CollTo00
41,Scott Connot,23,DB,2,0,216,6-3,South Dakota St.,6/24/1981,Rook,0,,ConnSc20
75,Lional Dalton,29,DT,16,13,315,6-1,East. Michigan,2/21/1975,6,4,,DaltLi20
89,Jason Dunn,31,TE,16,0,276,6-6,East. Kentucky,11/15/1973,8,1,Philadelphia Eagles / 2nd / 54th pick / 1996,DunnJa00
