No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
90,Gaines Adams,26,DE,5,5,258,6-5,Clemson,6/8/1983,2,2,Tampa Bay Buccaneers / 1st / 4th pick / 2007,AdamGa99
26,Will Allen,27,DB,8,2,202,6-1,Ohio St.,6/17/1982,5,1,Tampa Bay Buccaneers / 4th / 111th pick / 2004,AlleWi21
38,Brandon Anderson,24,DB,3,0,180,5-10,Akron,12/10/1985,Rook,0,,AndeBr23
3,Shane Andrus,29,K,3,0,190,5-10,Murray St.Western Kentucky,10/2/1980,Rook,0,,AndrSh00
29,Kyle Arrington,23,DB,1,0,196,5-10,Hofstra,8/12/1986,Rook,0,,ArriKy00
35,B.J. Askew,29,FB,5,2,233,6-3,Michigan,8/19/1980,6,0,New York Jets / 3rd / 85th pick / 2003,AskeB.00
20,Ronde Barber,34,DB,16,16,184,5-10,Virginia,4/7/1975,12,6,Tampa Bay Buccaneers / 3rd / 66th pick / 1997,BarbRo00
10,Connor Barth,23,K,9,0,193,5-11,North Carolina,4/11/1986,1,2,,barthco01
71,Michael Bennett,24,DE,7,0,275,6-4,Texas A&M,11/13/1985,Rook,0,,BennMi99
58,Quincy Black,25,LB,16,13,226,6-2,New Mexico,2/28/1984,2,6,Tampa Bay Buccaneers / 3rd / 68th pick / 2007,BlacQu99
89,Antonio Bryant,28,WR,13,11,211,6-1,Pittsburgh,3/9/1981,7,4,Dallas Cowboys / 2nd / 63rd pick / 2002,BryaAn00
37,Steve Cargile,27,DB,1,0,212,6-2,Columbia,6/2/1982,3,0,,CargSt20
87,Brian Clark,26,WR,14,0,204,6-2,North Carolina St.,12/26/1983,3,0,,ClarBr00
80,Michael Clayton,27,WR,13,11,202,6-3,LSU,10/13/1982,5,2,Tampa Bay Buccaneers / 1st / 15th pick / 2004,ClayMi00
61,Jonathan Compas,23,C,2,0,315,6-3,UC Davis,1/9/1986,Rook,0,,CompJo00
27,Torrie Cox,29,DB,11,1,192,5-10,Pittsburgh,10/29/1980,5,1,Tampa Bay Buccaneers / 6th / 205th pick / 2003,CoxxTo21
96,Tim Crowder,24,DE,15,4,272,6-4,Texas,6/30/1985,2,3,Denver Broncos / 2nd / 56th pick / 2007,CrowTi99
69,Demar Dotson,24,T,9,0,315,6-9,Southern Miss,10/11/1985,Rook,0,,DotsDe00
48,Andrew Economos,27,C,16,0,250,6-1,Georgia Tech,6/24/1982,3,2,,EconAn20
52,Jeff Faine,28,C,12,12,291,6-3,Notre Dame,4/6/1981,6,4,Cleveland Browns / 1st / 21st pick / 2003,FainJe20
16,Yamon Figurs,26,WR,3,0,174,6-0,Kansas St.,1/10/1983,2,0,Baltimore Ravens / 3rd / 74th pick / 2007,FiguYa00
5,Josh Freeman,21,QB,10,9,240,6-6,Kansas St.,1/13/1988,Rook,2,Tampa Bay Buccaneers / 1st / 17th pick / 2009,FreeJo00
88,John Gilmore,30,TE,13,2,257,6-5,Penn St.,9/21/1979,7,0,New Orleans Saints / 6th / 196th pick / 2002,GilmJo00
34,Earnest Graham,29,RB,13,6,225,5-9,Florida,1/15/1980,5,1,,GrahEa00
37,Marcus Hamilton,25,DB,1,0,188,5-11,Virginia,2/17/1984,1,0,Tampa Bay Buccaneers / 7th / 245th pick / 2007,HamiMa99
54,Geno Hayes,22,LB,15,13,220,6-2,Florida St.,8/10/1987,1,6,Tampa Bay Buccaneers / 6th / 175th pick / 2008,HayeGe98
57,Adam Hayward,25,MLB,15,1,235,6-0,Portland St.,6/23/1984,2,1,Tampa Bay Buccaneers / 6th / 182nd pick / 2007,HaywAd98
95,Chris Hovan,31,DT,16,16,296,6-2,Boston Col.,5/12/1978,9,6,Minnesota Vikings / 1st / 25th pick / 2000,HovaCh20
32,Kareem Huggins,23,RB,3,0,198,5-9,Hofstra,5/24/1986,Rook,0,,HuggKa00
36,Tanard Jackson,24,DB,12,12,200,6-0,Syracuse,7/21/1985,2,6,Tampa Bay Buccaneers / 4th / 106th pick / 2007,JackTa99
