No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
77,Ethan Albright,30,G,16,0,265,6-5,North Carolina,5/1/1971,6,2,,AlbrEt20
80,Stephen Alexander,26,TE,7,5,250,6-4,Oklahoma,11/7/1975,3,1,Washington Redskins / 2nd / 48th pick / 1998,AlexSt00
56,LaVar Arrington,23,LB,14,14,257,6-3,Penn St.,6/20/1978,1,13,Washington Redskins / 1st / 2nd pick / 2000,ArriLa00
24,Champ Bailey,23,DB,16,16,192,6-0,Georgia,6/22/1978,2,10,Washington Redskins / 1st / 7th pick / 1999,BailCh00
12,Tony Banks,28,QB,15,14,230,6-4,Michigan St.,4/5/1973,5,8,St. Louis Rams / 2nd / 42nd pick / 1996,BankTo00
59,Shawn Barber,26,ROLB,3,3,240,6-2,Richmond,1/14/1975,3,1,Washington Redskins / 4th / 113th pick / 1998,BarbSh20
4,Bryan Barker,37,P,16,0,202,6-1,Santa Clara,6/28/1964,11,2,,BarkBr20
20,Michael Bates,32,RB,16,0,189,5-10,Arizona,12/19/1969,8,0,Seattle Seahawks / 6th / 150th pick / 1992,BateMi00
84,Marco Battaglia,28,TE,3,0,250,6-3,Rutgers,1/25/1973,5,0,Cincinnati Bengals / 2nd / 39th pick / 1996,BattMa00
32,Donnell Bennett,29,RB,16,14,242,6-0,Miami (FL),9/14/1972,7,1,Kansas City Chiefs / 2nd / 58th pick / 1994,BennDo00
72,Dorian Boose,27,DE,10,2,292,6-5,Washington St.,1/29/1974,3,2,New York Jets / 2nd / 56th pick / 1998,BoosDo20
54,David Brandt,24,C,13,1,309,6-4,Michigan,9/25/1977,Rook,1,,BranDa22
66,Matt Campbell,29,G,11,5,284,6-4,South Carolina,7/14/1972,6,2,,CampMa21
23,Ki-Jana Carter,28,RB,14,0,222,5-10,Penn St.,9/12/1973,5,2,Cincinnati Bengals / 1st / 1st pick / 1995,CartKi00
62,Ben Coleman,30,G,15,10,330,6-5,Wake Forest,5/18/1971,8,4,Phoenix Cardinals / 2nd / 32nd pick / 1993,ColeBe20
99,Marco Coleman,32,DE,12,12,286,6-3,Georgia Tech,12/18/1969,9,6,Miami Dolphins / 1st / 12th pick / 1992,ColeMa00
5,Brett Conway,26,K,16,0,208,6-2,Penn St.,3/8/1975,3,4,Green Bay Packers / 3rd / 90th pick / 1997,conwabre01
91,Delbert Cowsette,24,DT,16,0,290,6-1,Maryland,9/3/1977,Rook,1,Washington Redskins / 7th / 216th pick / 2000,CowsDe20
57,Donte Curry,23,MLB,8,0,233,6-1,Morris Brown,7/22/1978,Rook,1,,CurrDo21
48,Stephen Davis,27,RB,16,16,230,6-0,Auburn,3/1/1974,5,10,Washington Redskins / 4th / 102nd pick / 1996,DaviSt00
92,Jerry DeLoach,24,DE,15,4,335,6-2,California,7/17/1977,Rook,3,,DeLoJe20
89,Zeron Flemister,25,TE,16,1,250,6-4,Iowa,9/8/1976,1,2,,FlemZe00
87,Rod Gardner,24,WR,16,16,213,6-2,Clemson,10/26/1977,Rook,6,Washington Redskins / 1st / 15th pick / 2001,GardRo00
3,Jeff George,34,QB,2,2,218,6-4,PurdueIllinois,12/8/1967,11,0,Indianapolis Colts / 1st / 1st pick / 1990,GeorJe00
10,Kent Graham,33,QB,3,0,231,6-5,Notre DameOhio St.,11/1/1968,9,0,New York Giants / 8th / 211th pick / 1992,GrahKe00
28,Darrell Green,41,DB,16,4,184,5-9,Texas A&M-Kingsville,2/15/1960,18,2,Washington Redskins / 1st / 28th pick / 1983,GreeDa00
53,Donny Green,24,LB,1,0,238,6-2,Virginia,9/18/1977,Rook,0,,GreeDo21
25,Donovan Greer,27,DB,2,0,178,5-9,Texas A&M,9/11/1974,4,0,,GreeDo25
