No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
21,Ameer Abdullah,25,RB,3,0,196,5-9,Nebraska,6/13/1993,3,0,Detroit Lions / 2nd / 54th pick / 2015,AbduAm00
39,Jamal Agnew,23,WR/CB,6,0,190,5-10,San Diego,4/3/1995,1,1,Detroit Lions / 5th / 165th pick / 2017,AgneJa00
94,Ezekiel Ansah,29,DE,7,2,275,6-5,BYU,5/29/1989,5,2,Detroit Lions / 1st / 5th pick / 2013,AnsaEz00
99,John Atkins,26,DT,2,0,320,6-3,Georgia,12/21/1992,Rook,0,,AtkiJo01
53,Trevor Bates,25,LB,9,0,247,6-2,Maine,8/28/1993,2,1,Indianapolis Colts / 7th / 239th pick / 2016,BateTr00
43,Nick Bellore,29,LB,14,4,250,6-1,Central Michigan,5/12/1989,7,0,,BellNi01
29,LeGarrette Blount,32,RB,16,8,247,6-0,East Mississippi CCOregon,12/5/1986,8,3,,BlouLe00
21,Don Carey,31,DB,1,0,202,5-11,Norfolk St.,2/14/1987,8,0,Cleveland Browns / 6th / 177th pick / 2009,CareDo00
8,Matt Cassel,36,QB,2,0,225,6-4,USC,5/17/1982,13,0,New England Patriots / 7th / 230th pick / 2005,CassMa00
21,Marcus Cooper,28,CB,4,0,197,6-2,Rutgers,2/1/1990,5,0,San Francisco 49ers / 7th / 252nd pick / 2013,CoopMa00
65,Tyrell Crosby,23,OT,10,2,310,6-4,Oregon,9/5/1995,Rook,2,Detroit Lions / 5th / 153rd pick / 2018,CrosTy00
86,Jerome Cunningham,27,TE,3,0,254,6-4,Southern Connecticut St.,5/25/1991,4,0,,CunnJe00
66,Joe Dahl,25,OG,10,1,310,6-4,Washington St.,4/9/1993,2,1,Detroit Lions / 5th / 151st pick / 2016,DahlJo00
40,Jarrad Davis,24,ILB,16,16,245,6-1,Florida,11/16/1994,1,8,Detroit Lions / 1st / 21st pick / 2017,DaviJa01
68,Taylor Decker,25,OT,16,16,318,6-7,Ohio St.,8/23/1993,2,7,Detroit Lions / 1st / 16th pick / 2016,DeckTa00
