No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
11,Brandon Aiyuk,25,WR,1,1,200,6-0,Arizona St.,3/17/1998,3,,San Francisco 49ers / 1st / 25th pick / 2020,AiyuBr00
17,Brandon Allen,31,QB,0,0,209,6-2,Arkansas,9/5/1992,4,,Jacksonville Jaguars / 6th / 201st pick / 2016,AlleBr00
91,Arik Armstead,30,DL,1,1,290,6-7,Oregon,11/15/1993,8,,San Francisco 49ers / 1st / 17th pick / 2015,ArmsAr01
65,Aaron Banks,26,OL,1,1,325,6-5,Notre Dame,9/3/1997,2,,San Francisco 49ers / 2nd / 48th pick / 2021,BankAa00
10,Ronnie Bell,23,WR,1,0,190,,Michigan,1/28/2000,Rook,,San Francisco 49ers / 7th / 253rd pick / 2023,BellRo01
97,Nick Bosa,26,DL,1,1,266,6-4,Ohio St.,10/23/1997,4,,San Francisco 49ers / 1st / 2nd pick / 2019,BosaNi00
64,Jake Brendel,31,OL,1,1,299,6-4,UCLA,9/10/1992,7,,,BrenJa01
27,Ji'Ayir Brown,23,S,1,0,208,,LackawannaPenn St.,1/25/2000,Rook,,San Francisco 49ers / 3rd / 87th pick / 2023,BrowJi01
74,Spencer Burford,24,OL,1,1,295,6-5,Texas-San Antonio,7/19/1999,1,,San Francisco 49ers / 4th / 134th pick / 2022,BurfSp00
48,Oren Burks,28,LB,1,0,233,6-3,Vanderbilt,3/21/1995,5,,Green Bay Packers / 3rd / 88th pick / 2018,BurkOr00
14,Sam Darnold,26,QB,1,0,225,6-3,USC,6/5/1997,5,,New York Jets / 1st / 3rd pick / 2018,DarnSa00
93,Kalia Davis,25,DL,0,0,310,6-2,Central Florida,10/2/1998,Rook,,San Francisco 49ers / 6th / 220th pick / 2022,DaviKa01
32,Tyrion Davis-Price,23,RB,0,0,232,6-1,LSU,10/23/2000,1,,San Francisco 49ers / 3rd / 93rd pick / 2022,DaviTy03
82,Ross Dwelley,28,TE,1,0,235,6-5,San Diego,1/26/1995,5,,,DwelRo00
55,Jon Feliciano,31,OL,1,0,325,6-4,Miami (FL),2/10/1992,8,,Oakland Raiders / 4th / 128th pick / 2015,FeliJo00
94,Clelin Ferrell,26,DL,1,1,265,6-4,Clemson,5/17/1997,4,,Oakland Raiders / 1st / 4th pick / 2019,FerrCl00
45,Demetrius Flannigan-Fowles,27,LB,1,0,223,6-2,Arizona,9/4/1996,3,,,FlanDe00
31,Tashaun Gipson,33,S,1,1,207,6-1,Wyoming,8/7/1990,11,,,GipsTa00
90,Kevin Givens,26,DL,1,0,285,6-1,Penn St.,3/1/1997,4,,,GiveKe01
50,Jalen Graham,22,LB,0,0,220,,Purdue,1/11/2001,Rook,,San Francisco 49ers / 7th / 255th pick / 2023,GrahJa02
57,Dre Greenlaw,26,LB,1,1,230,6-0,Arkansas,5/27/1997,4,,San Francisco 49ers / 5th / 148th pick / 2019,GreeDr00
98,Javon Hargrave,30,DL,1,1,305,6-2,South Carolina St.,2/7/1993,7,,Pittsburgh Steelers / 3rd / 89th pick / 2016,HargJa00
29,Talanoa Hufanga,23,S,1,1,200,6-0,USC,2/1/2000,2,,San Francisco 49ers / 5th / 180th pick / 2021,HufaTa00
92,Kerry Hyder,32,DL,1,0,275,6-2,Texas Tech,5/2/1991,8,,,HydeKe01
95,Drake Jackson,22,DL,1,0,250,6-4,USC,4/12/2001,1,,San Francisco 49ers / 2nd / 61st pick / 2022,JackDr01
15,Jauan Jennings,26,WR,1,0,212,6-3,Tennessee,7/10/1997,2,,San Francisco 49ers / 7th / 217th pick / 2020,JennJa00
44,Kyle Juszczyk,32,FB,1,1,235,6-1,Harvard,4/23/1991,10,,Baltimore Ravens / 4th / 130th pick / 2013,JuszKy00
99,Javon Kinlaw,26,DT,1,0,319,6-5,South Carolina,10/3/1997,3,,San Francisco 49ers / 1st / 14th pick / 2020,KinlJa00
85,George Kittle,30,TE,1,1,250,6-4,Iowa,10/9/1993,6,,San Francisco 49ers / 5th / 146th pick / 2017,KittGe00
